,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline
230,820067,The Quintessential Quintuplets Movie,2022-05-20,"['Animation', 'Comedy', 'Romance']",Japanese,8.4,299,126.209,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",0,"['DAX Production', 'Pony Canyon', 'Nichion', 'Bibury Animation Studios', 'Nippon BS Broadcasting', 'GYAO', 'Kodansha', 'Good Smile Film', 'Bushiroad', 'MAGNET']",17288993,136,
231,874743,To Every You I've Loved Before,2022-10-07,"['Animation', 'Romance', 'Science Fiction']",Japanese,6.3,12,125.978,"While struggling to make friends after his parents’ divorce, Koyomi Takasaki meets Kazune Takigawa, but apparently, they already have. Kazune reveals that she’s from World Line 85, an alternate universe in which she and Koyomi are lovers. But in a reality where moving between dimensions is natural, could Koyomi be the one from another world?",0,"['BAKKEN RECORD', 'dentsu', 'Toei Company', 'KDDI', 'KADOKAWA', 'Tatsunoko Production', 'OBS', 'Oita Godo Shimbun', 'Hayakawa Publishing', 'nekojarashi', 'MOTION GALLERY']",0,102,
232,601796,Alienoid,2022-07-20,"['Science Fiction', 'Action', 'Fantasy', 'Adventure']",Korean,7.2,131,125.499,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",24457676,['Caper Film'],0,143,"For Ages, Aliens have locked up their prisoners in humans bodies."
233,755679,Fast X: Part 2,2025-04-04,"['Action', 'Crime', 'Thriller']",English,0.0,0,125.094,The eleventh installment in The Fast Saga.,0,"['Universal Pictures', 'One Race', 'Original Film', 'Perfect Storm Entertainment']",0,0,
234,960258,Shark Bait,2022-05-13,"['Horror', 'Thriller', 'Action', 'Adventure']",English,5.8,237,124.312,"A group of friends enjoying a weekend steal a couple of jetskis racing them out to sea, ending up in a horrific head-on collision. They struggle to find a way home with a badly injured friend while from the waters below predators lurk.",0,"['Altitude Film Sales', 'Ingenious Media']",0,87,Terror runs deep.
235,1930,The Amazing Spider-Man,2012-06-23,"['Action', 'Adventure', 'Fantasy']",English,6.7,16048,124.23,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",215000000,"['Marvel Entertainment', 'Laura Ziskin Productions', 'Columbia Pictures', 'Matt Tolmach Productions', 'Arad Productions']",757930663,136,The untold story begins.
236,851644,20th Century Girl,2022-10-06,"['Romance', 'Drama']",Korean,8.3,455,124.012,"Yeon-du asks her best friend Bora to collect all the information she can about Baek Hyun-jin while she is away in the U.S. for heart surgery. Bora decides to get close to Baek's best friend, Pung Woon-ho first. However, Bora's clumsy plan unfolds in an unexpected direction. In 1999, a year before the new century, Bora, who turns seventeen, falls into the fever of first love.",119,['Yong Film'],0,119,A first love pov story.
237,76203,12 Years a Slave,2013-10-18,"['Drama', 'History']",English,7.9,10406,123.3,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",20000000,"['New Regency Pictures', 'Plan B Entertainment', 'River Road Entertainment', 'Regency Enterprises', 'Film4 Productions']",187000000,134,The extraordinary true story of Solomon Northup
238,830784,"Lyle, Lyle, Crocodile",2022-10-07,"['Comedy', 'Family', 'Music']",English,7.3,424,123.194,"When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.",50000000,"['Hutch Parker Entertainment', 'Speck Gordon', 'Eagle Pictures', 'TSG Entertainment', 'Columbia Pictures', 'Sony Pictures']",104088441,106,He knows every scale.
239,899112,Violent Night,2022-11-30,"['Action', 'Comedy', 'Crime', 'Thriller']",English,7.5,1458,122.695,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.",20000000,"['87North Productions', 'Universal Pictures']",75734910,112,You better watch out.
